claim_id,query_id,pair_id,arm,claim_text,evidence,source_type,t2_f1,novel_token,note
t2d-p01a#0,t2d-p01a,p01,A,The Halden reactor maintained a stable output level throughout the winter trial [S1].,S1: The Halden reactor sustained a stable output level throughout the winter trial.,verbatim,0.8889,maintained,T2-only (T1 misses); one novel content token.
t2d-p01b#0,t2d-p01b,p01,B,The Halden reactor sustained a stable output level throughout the summer trial [S1].,S1: The Halden reactor sustained a stable output level throughout the winter trial.,verbatim,0.8889,summer,T2-only (T1 misses); one novel content token.
t2d-p02a#0,t2d-p02a,p02,A,Orbital Freight lowered its average delivery time across the eastern corridor [S1].,S1: Orbital Freight reduced its average delivery time across the eastern corridor.,verbatim,0.8889,lowered,T2-only (T1 misses); one novel content token.
t2d-p02b#0,t2d-p02b,p02,B,Orbital Freight reduced its average delivery time across the western corridor [S1].,S1: Orbital Freight reduced its average delivery time across the eastern corridor.,verbatim,0.8889,western,T2-only (T1 misses); one novel content token.
t2d-p03a#0,t2d-p03a,p03,A,The Kestrel sensor identifies surface cracks during routine hull inspection [S1].,S1: The Kestrel sensor detects surface cracks during routine hull inspection.,verbatim,0.8889,identifies,T2-only (T1 misses); one novel content token.
t2d-p03b#0,t2d-p03b,p03,B,The Kestrel sensor detects surface cracks during routine wing inspection [S1].,S1: The Kestrel sensor detects surface cracks during routine hull inspection.,verbatim,0.8889,wing,T2-only (T1 misses); one novel content token.
t2d-p04a#0,t2d-p04a,p04,A,Revenue grew eleven percent year over year in the logistics division [S1].,S1: Revenue expanded eleven percent year over year in the logistics division.,verbatim,0.8750,grew,T2-only (T1 misses); one novel content token.
t2d-p04b#0,t2d-p04b,p04,B,Revenue expanded eleven percent year over year in the mapping division [S1].,S1: Revenue expanded eleven percent year over year in the logistics division.,verbatim,0.8750,mapping,T2-only (T1 misses); one novel content token.
t2d-p05a#0,t2d-p05a,p05,A,The Vantis compiler increases build throughput on large monorepo projects [S1].,S1: The Vantis compiler improves build throughput on large monorepo projects.,verbatim,0.8750,increases,T2-only (T1 misses); one novel content token.
t2d-p05b#0,t2d-p05b,p05,B,The Vantis compiler improves build throughput on large monolith projects [S1].,S1: The Vantis compiler improves build throughput on large monorepo projects.,verbatim,0.8750,monolith,T2-only (T1 misses); one novel content token.
