claim_id,query_id,claim_text,evidence,human_label,candidate_verdict,rationale,label_status
q01#0,q01,The aluminum chassis reduces overall unit weight by twelve percent compared to steel [S1].,S1: The aluminum chassis reduces overall unit weight by twelve percent compared to steel used in the legacy design.,grounded,grounded,Claim is a contiguous verbatim span of the cited source; fully supported.,candidate
q02#0,q02,The X200 drone uses a carbon-fiber frame rated for extended field operation [S2].,S2: The X200 drone uses a carbon-fiber frame rated for extended field operation in harsh environments.,grounded,grounded,Verbatim span present in the cited source; no over-reach.,candidate
q03#0,q03,"According to the engineering team, the new battery pack lasts through extended field tests without failure [S3].","S3: According to the engineering team, the new battery pack lasts through extended field tests without failure under a range of temperatures.",grounded,grounded,Attribution matches the source verbatim including the attributed team.,candidate
q04#0,q04,Quorum DB maintains strong consistency across all replicated partitions by default [S4].,"S4: Quorum DB maintains strong consistency across all replicated partitions by default, even under network partition.",grounded,grounded,Verbatim span present; claim does not exceed the source.,candidate
q05#0,q05,"Meridian Robotics shipped 4,200 units in the third quarter [S5].","S5: In the third quarter, Meridian Robotics shipped 4,200 units to distributors across North America and Europe.",grounded,grounded,"Number 4,200 and surrounding claim both present in the source.",candidate
q06#0,q06,Revenue grew 12% year over year across the segment [S6].,S6: Company filings show that revenue grew 12% year over year across the segment during the reporting period.,grounded,grounded,12% and the growth statement match the source value and unit.,candidate
q07#0,q07,"Quorum DB sustains 100,000 writes per second on commodity hardware [S7].","S7: Quorum DB sustains 100,000 writes per second on commodity hardware in independent benchmark tests.",grounded,grounded,Throughput figure and phrasing appear verbatim in the source.,candidate
q08#0,q08,The NovaChip process reached a 78% yield in pilot production [S8].,S8: Pilot production of the NovaChip process reached a 78% yield in the most recent quarter.,grounded,grounded,78% yield in pilot production is stated in the source.,candidate
q31#0,q31,The acquisition closed at $4M in total consideration [S31].,"S31: The acquisition closed at $4,000,000 in total consideration according to the disclosed filings.",grounded,grounded,"$4M normalizes to $4,000,000, which the source states; supported.",candidate
q33#0,q33,The fleet logged 1.2 million flight hours last year [S33].,S33: The fleet logged 1.2 million flight hours last year across all operating regions.,grounded,grounded,1.2 million flight hours matches the source value.,candidate
q38#0,q38,Adverse events occurred in 3% of the treatment arm [S38].,S38: Adverse events occurred in 3% of the treatment arm during the study period.,grounded,grounded,3% adverse-event rate for the treatment arm is stated in the source.,candidate
q52#0,q52,"The trial enrolled 1,050 participants across twelve sites [S52].","S52: The trial enrolled 1,050 participants across twelve sites in three countries.",grounded,grounded,Enrollment count and site count match the source.,candidate
q09#0,q09,The upgraded rotor motor delivers longer flight time than the previous model [S9].,S9: The upgraded rotor motor delivers a longer flight time than the previous model in repeated bench testing.,grounded,grounded,Paraphrase preserves meaning; source states the same comparison.,candidate
q10#0,q10,Larkspur reduced the average onboarding time for new accounts substantially [S10].,S10: The new onboarding flow at Larkspur reduced the average onboarding time for new accounts substantially this quarter.,grounded,grounded,Claim is a faithful restatement of the cited source.,candidate
q35#0,q35,Quorum DB replicates every write to a majority of nodes before acknowledging it [S35].,"S35: Before acknowledging a write, Quorum DB replicates it to a majority of nodes in the cluster.",grounded,grounded,Reordered paraphrase; every asserted fact is in the source.,candidate
q51#0,q51,The onboarding redesign shipped to all enterprise customers this quarter [S51].,S51: The onboarding redesign shipped to all enterprise customers this quarter after a staged rollout.,grounded,grounded,Verbatim span present in the source.,candidate
q11#0,q11,"According to the safety team, the X200 passed all mandated crash tests [S11].","S11: According to the safety team, the X200 passed all mandated crash tests conducted this year.",grounded,grounded,Attributed claim matches the source verbatim.,candidate
q32#0,q32,Solar panels reduce carbon emissions across the regional grid over time [S32].,S32: Solar panels reduce carbon emissions across the regional grid over time as deployment scales.,grounded,grounded,Verbatim span present; supported.,candidate
